State,ami_worse,ami_same,ami_better,heart_failure_worse,heart_failure_same,heart_failure_better,pneumonia_worse,pneumonia_same,pneumonia_better,readmission_worse,readmission_same,readmission_better,readmission_heart_attack_worse,readmission_heart_attack_same,readmission_heart_attack_better,readmission_heart_failure_worse,readmission_heart_failure_same,readmission_heart_failure_better
AK,0,5,0,0,9,1,0,14,0,0,21,1,1,4,0,1,7,2
AL,0,36,0,1,78,0,3,80,1,3,83,1,2,21,13,6,54,19
AR,1,22,0,5,60,0,2,68,1,7,64,1,1,13,9,6,39,20
AS,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
AZ,0,44,0,0,52,2,2,64,2,0,67,7,10,31,3,11,36,7
CA,0,189,1,5,255,8,14,268,8,22,282,18,27,116,47,38,178,52
CO,0,32,0,0,50,2,0,64,2,0,65,7,13,19,0,18,34,0
CT,0,25,0,1,27,1,3,27,0,3,26,0,1,15,9,0,21,8
DC,0,7,0,0,7,0,0,7,0,1,6,0,0,4,3,0,1,6
DE,0,6,0,0,5,1,0,5,1,0,5,1,1,3,2,1,3,2
FL,3,136,1,21,152,3,21,155,5,44,131,5,3,81,56,5,83,88
GA,0,56,0,2,101,3,3,116,1,2,123,2,2,39,15,9,77,20
GU,0,1,0,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0
HI,0,10,0,0,13,0,0,12,1,0,11,2,2,7,1,0,9,4
IA,0,25,0,0,87,1,0,114,0,0,111,4,1,24,0,19,65,4
ID,0,9,0,0,18,1,0,30,1,0,36,3,5,4,0,5,13,1
IL,2,97,0,6,159,2,10,160,3,17,154,6,8,70,21,21,113,33
IN,0,55,0,4,98,6,1,111,3,4,103,13,13,38,4,26,69,13
KS,0,23,0,0,74,1,1,110,1,1,121,3,3,18,2,10,63,2
KY,1,39,0,2,83,1,7,84,1,11,77,3,5,27,8,2,57,27
LA,0,40,0,2,82,0,3,92,1,2,107,1,7,28,5,7,66,11
MA,2,44,0,5,57,0,8,55,0,14,45,1,2,31,13,4,40,18
MD,1,38,0,3,39,3,6,38,1,6,36,5,1,27,11,2,28,15
ME,0,17,1,0,32,2,0,35,0,0,31,2,7,8,3,8,25,1
MI,2,61,1,7,104,3,6,112,3,17,100,8,12,36,16,29,59,26
MN,0,21,0,0,74,1,1,92,0,0,117,1,2,17,2,13,58,4
MO,0,51,1,4,87,3,7,100,1,7,95,5,6,37,9,10,70,14
MP,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
MS,0,23,0,2,74,0,9,79,0,7,83,0,0,13,10,3,58,15
MT,0,9,0,0,26,0,0,40,1,0,46,3,0,9,0,6,18,2
NC,0,57,1,6,90,3,6,94,3,5,87,12,4,44,10,16,59,24
ND,0,7,0,0,20,1,0,34,1,0,39,1,0,4,3,3,15,3
NE,0,18,1,0,39,2,0,74,0,0,80,4,5,13,1,13,26,2
NH,0,12,1,0,25,1,1,25,0,0,26,0,1,11,1,2,22,2
NJ,1,62,0,6,54,4,13,50,1,13,51,0,1,31,31,2,25,37
NM,0,10,0,0,30,1,0,38,1,1,34,3,3,7,0,2,25,4
NV,0,18,0,0,27,0,2,26,0,2,27,0,2,13,3,1,19,7
NY,1,113,0,19,137,0,29,136,0,43,120,2,2,59,53,3,43,110
OH,0,90,0,5,137,2,4,144,1,7,146,4,7,65,18,25,92,27
OK,0,31,1,0,78,2,0,101,4,4,114,3,4,26,2,5,71,4
OR,0,21,1,0,50,0,0,54,1,0,55,4,8,14,0,10,39,1
PA,0,110,0,2,144,3,6,144,2,14,137,10,9,79,22,7,114,28
PR,0,13,0,0,24,0,0,27,0,3,45,0,0,6,7,0,7,17
RI,0,9,1,0,10,0,0,10,0,1,10,0,2,6,2,0,6,4
SC,0,33,0,2,48,5,1,57,2,3,55,2,1,25,7,4,38,13
SD,0,8,0,0,21,0,0,42,1,0,52,2,1,6,1,4,17,0
TN,1,47,1,1,95,1,1,101,0,5,97,3,3,36,10,9,76,12
TX,1,168,0,2,263,6,2,308,5,9,348,15,13,117,39,31,193,47
UT,0,14,0,0,24,2,0,37,2,0,38,4,9,5,0,10,16,0
VA,0,59,0,4,71,4,3,74,1,6,72,3,6,45,8,11,44,24
VI,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
VT,0,7,0,0,13,0,0,14,0,0,14,0,3,4,0,6,7,0
WA,0,41,1,0,67,2,0,78,2,0,71,12,9,31,2,14,49,6
WI,0,45,0,0,107,1,0,116,1,0,113,10,13,31,1,33,73,2
WV,0,21,0,1,39,0,2,46,0,2,46,0,0,13,8,1,25,14
WY,0,4,0,0,16,0,0,20,1,1,23,0,1,2,1,3,12,1